fill	x	y	xmin	xmax	ymin	ymax
#D5A7A2	8830	24	8805	8855	-1	49
#E3DFF0	8880	24	8855	8905	-1	49
#FEFDFD	8880	74	8855	8905	49	99
#D9D4EA	8930	74	8905	8955	49	99
#F3E4E2	8930	124	8905	8955	99	149
#FDFAFA	8980	124	8955	9005	99	149
#FBF6F5	8980	174	8955	9005	149	199
#B6ADD7	9030	174	9005	9055	149	199
#B1A8D4	9030	224	9005	9055	199	249
#EBE8F4	9080	224	9055	9105	199	249
#C9C2E2	9080	274	9055	9105	249	299
#D6D1E9	9130	274	9105	9155	249	299
#3A3A98	9130	324	9105	9155	299	349
#AFA5D3	9180	324	9155	9205	299	349
#D8D2EA	9180	374	9155	9205	349	399
#9186C3	9230	374	9205	9255	349	399
#D5D0E8	8930	24	8905	8955	-1	49
#F5F3F9	8980	74	8955	9005	49	99
#F9F2F1	9030	124	9005	9055	99	149
#E4E0F0	9080	174	9055	9105	149	199
#FEFDFC	9130	224	9105	9155	199	249
#CCC6E4	9180	274	9155	9205	249	299
#F9F8FC	9230	324	9205	9255	299	349
#C7C0E1	8980	24	8955	9005	-1	49
#FEFEFD	9080	124	9055	9105	99	149
#E4C5C1	9180	224	9155	9205	199	249
#D6D1E9	9030	74	9005	9055	49	99
#F9F8FC	9130	174	9105	9155	149	199
#E8CCC9	9230	274	9205	9255	249	299
#B3AAD5	9280	324	9255	9305	299	349
#E2DEEF	9030	24	9005	9055	-1	49
#EFEDF6	9080	74	9055	9105	49	99
#FBF7F6	9130	124	9105	9155	99	149
#E9CFCC	9180	174	9155	9205	149	199
#EEEBF6	9230	224	9205	9255	199	249
#E8E5F3	9280	274	9255	9305	249	299
#D6D0E9	9080	24	9055	9105	-1	49
#E8CCC9	9180	124	9155	9205	99	149
#D8D2EA	9280	224	9255	9305	199	249
#DFDBEE	9130	74	9105	9155	49	99
#FCF7F6	9230	174	9205	9255	149	199
#B7AFD8	9330	274	9305	9355	249	299
#D7D1E9	9130	24	9105	9155	-1	49
#ECE9F4	9180	74	9155	9205	49	99
#F5E7E5	9230	124	9205	9255	99	149
#C7C0E1	9280	174	9255	9305	149	199
#B9B0D9	9330	224	9305	9355	199	249
#D5CFE8	9180	24	9155	9205	-1	49
#FDFBFB	9280	124	9255	9305	99	149
#F8EFEE	9230	74	9205	9255	49	99
#EDEAF5	9330	174	9305	9355	149	199
#D9D4EB	9380	224	9355	9405	199	249
#F7F6FB	9230	24	9205	9255	-1	49
#F9F8FC	9280	74	9255	9305	49	99
#FFFFFF	9330	124	9305	9355	99	149
#DFDBEE	9380	174	9355	9405	149	199
#E2DEEF	9280	24	9255	9305	-1	49
#F7F6FB	9380	124	9355	9405	99	149
#FFFEFE	9330	74	9305	9355	49	99
#C4BCDF	9430	174	9405	9455	149	199
#F1EFF7	9330	24	9305	9355	-1	49
#ECD4D1	9380	74	9355	9405	49	99
#DAB2AD	9430	124	9405	9455	99	149
#CCC5E3	9380	24	9355	9405	-1	49
#F7EDEC	9430	74	9405	9455	49	99
#F5E8E6	9480	124	9455	9505	99	149
#C1B9DD	9430	24	9405	9455	-1	49
#F2E3E0	9480	74	9455	9505	49	99
#D7D1E9	9480	24	9455	9505	-1	49
#F8EEED	9530	74	9505	9555	49	99
#D3CDE7	9530	24	9505	9555	-1	49
#7F75BA	9580	24	9555	9605	-1	49
