group	x	y	showSelected1
1	8830	24	165
1	8830	24	282
1	8830	24	1661
1	8830	24	2489
1	8830	24	9
2	8880	24	165
2	8880	24	303
2	8880	24	2489
2	8880	24	282
2	8880	24	63
2	8880	24	2635
2	8880	24	1965
2	8880	24	130
2	8880	24	1528
2	8880	24	658
2	8880	24	1835
2	8880	24	331
2	8880	24	1876
2	8880	24	1797
3	8880	74	165
3	8880	74	303
3	8880	74	277
3	8880	74	2635
3	8880	74	130
6	8930	74	277
6	8930	74	130
6	8930	74	2123
6	8930	74	651
6	8930	74	35
6	8930	74	2635
6	8930	74	474
6	8930	74	1798
6	8930	74	681
6	8930	74	2436
6	8930	74	1701
6	8930	74	2696
6	8930	74	2910
6	8930	74	2649
6	8930	74	2442
6	8930	74	2650
6	8930	74	546
5	8930	124	277
5	8930	124	651
5	8930	124	2607
5	8930	124	130
5	8930	124	1511
5	8930	124	35
8	8980	124	2607
8	8980	124	195
8	8980	124	651
8	8980	124	2605
8	8980	124	35
8	8980	124	11
8	8980	124	1511
8	8980	124	111
8	8980	124	1485
8	8980	124	189
8	8980	124	1290
8	8980	124	908
8	8980	124	2402
8	8980	124	1338
8	8980	124	2678
8	8980	124	983
8	8980	124	1366
8	8980	124	904
8	8980	124	2410
8	8980	124	1882
8	8980	124	1484
8	8980	124	705
9	8980	174	195
9	8980	174	11
9	8980	174	345
9	8980	174	1837
9	8980	174	111
13	9030	174	11
13	9030	174	200
13	9030	174	1282
13	9030	174	2584
13	9030	174	2643
13	9030	174	1414
13	9030	174	46
13	9030	174	2597
13	9030	174	2896
13	9030	174	273
13	9030	174	345
13	9030	174	564
13	9030	174	2405
13	9030	174	207
13	9030	174	525
13	9030	174	111
13	9030	174	447
13	9030	174	127
13	9030	174	2138
13	9030	174	426
13	9030	174	323
13	9030	174	250
13	9030	174	1665
13	9030	174	27
13	9030	174	982
13	9030	174	894
13	9030	174	1293
13	9030	174	2586
13	9030	174	1685
13	9030	174	1038
13	9030	174	1368
13	9030	174	204
13	9030	174	1573
13	9030	174	2292
13	9030	174	983
13	9030	174	2575
13	9030	174	1904
13	9030	174	33
14	9030	224	11
14	9030	224	46
14	9030	224	2803
14	9030	224	748
14	9030	224	1218
14	9030	224	1806
14	9030	224	569
14	9030	224	1500
14	9030	224	2967
14	9030	224	15
19	9080	224	11
19	9080	224	2115
19	9080	224	485
19	9080	224	712
19	9080	224	139
19	9080	224	213
19	9080	224	1786
19	9080	224	806
19	9080	224	1147
19	9080	224	416
19	9080	224	855
19	9080	224	1517
19	9080	224	297
19	9080	224	148
19	9080	224	15
19	9080	224	2058
19	9080	224	2590
19	9080	224	73
19	9080	224	2895
19	9080	224	2116
19	9080	224	2933
19	9080	224	316
19	9080	224	2560
19	9080	224	1791
19	9080	224	708
19	9080	224	1612
19	9080	224	878
19	9080	224	87
19	9080	224	2052
19	9080	224	2057
19	9080	224	2133
19	9080	224	1543
19	9080	224	1179
19	9080	224	2145
19	9080	224	158
19	9080	224	2967
19	9080	224	1571
19	9080	224	2514
19	9080	224	2589
19	9080	224	1691
19	9080	224	465
19	9080	224	1465
19	9080	224	1412
19	9080	224	2186
19	9080	224	2276
19	9080	224	1054
19	9080	224	1470
19	9080	224	118
19	9080	224	1949
19	9080	224	2934
19	9080	224	1135
19	9080	224	1238
19	9080	224	1220
19	9080	224	1397
19	9080	224	125
19	9080	224	1514
19	9080	224	68
19	9080	224	288
19	9080	224	2481
19	9080	224	2302
19	9080	224	471
19	9080	224	131
19	9080	224	743
19	9080	224	942
19	9080	224	2298
19	9080	224	2956
19	9080	224	2053
19	9080	224	1565
19	9080	224	1288
19	9080	224	2958
19	9080	224	1323
19	9080	224	959
19	9080	224	1234
19	9080	224	36
19	9080	224	988
19	9080	224	1451
19	9080	224	369
19	9080	224	1822
19	9080	224	1622
19	9080	224	119
19	9080	224	971
19	9080	224	2827
19	9080	224	2899
19	9080	224	2032
19	9080	224	406
19	9080	224	18
19	9080	224	734
19	9080	224	2387
19	9080	224	1452
20	9080	274	213
20	9080	274	806
20	9080	274	632
20	9080	274	297
20	9080	274	1552
20	9080	274	1554
20	9080	274	153
20	9080	274	154
20	9080	274	1487
20	9080	274	1476
20	9080	274	85
20	9080	274	1549
20	9080	274	129
20	9080	274	1600
20	9080	274	1431
20	9080	274	177
20	9080	274	171
20	9080	274	148
20	9080	274	1423
20	9080	274	533
20	9080	274	2792
20	9080	274	708
20	9080	274	2747
20	9080	274	1375
20	9080	274	2131
20	9080	274	1424
20	9080	274	1480
20	9080	274	1824
20	9080	274	158
20	9080	274	492
20	9080	274	2542
20	9080	274	1704
20	9080	274	2480
20	9080	274	1430
20	9080	274	118
26	9130	274	129
26	9130	274	834
26	9130	274	2736
26	9130	274	2737
26	9130	274	766
26	9130	274	1883
26	9130	274	252
26	9130	274	528
26	9130	274	343
26	9130	274	339
26	9130	274	1918
26	9130	274	171
26	9130	274	291
26	9130	274	71
26	9130	274	1549
26	9130	274	1068
26	9130	274	2077
26	9130	274	1507
26	9130	274	1987
26	9130	274	2290
26	9130	274	541
26	9130	274	737
26	9130	274	940
26	9130	274	280
26	9130	274	1917
26	9130	274	1823
26	9130	274	1015
26	9130	274	1067
26	9130	274	1895
26	9130	274	379
26	9130	274	533
26	9130	274	1788
26	9130	274	1754
26	9130	274	1501
26	9130	274	860
26	9130	274	994
26	9130	274	756
26	9130	274	516
26	9130	274	349
26	9130	274	1978
26	9130	274	1664
26	9130	274	8
26	9130	274	634
26	9130	274	1863
26	9130	274	847
26	9130	274	1429
26	9130	274	1417
26	9130	274	1270
26	9130	274	150
26	9130	274	1821
26	9130	274	1826
26	9130	274	414
26	9130	274	2851
26	9130	274	1579
26	9130	274	2682
26	9130	274	2950
26	9130	274	124
26	9130	274	2825
26	9130	274	1119
26	9130	274	2397
26	9130	274	1473
26	9130	274	1430
26	9130	274	38
26	9130	274	180
26	9130	274	2567
26	9130	274	2852
26	9130	274	1223
26	9130	274	1531
26	9130	274	586
26	9130	274	957
26	9130	274	1530
26	9130	274	118
26	9130	274	299
26	9130	274	1492
26	9130	274	2468
26	9130	274	1896
26	9130	274	2687
26	9130	274	158
26	9130	274	2780
26	9130	274	6
26	9130	274	2871
26	9130	274	601
26	9130	274	1569
26	9130	274	872
26	9130	274	1599
26	9130	274	755
26	9130	274	237
26	9130	274	995
26	9130	274	2785
26	9130	274	1533
26	9130	274	2656
26	9130	274	1620
26	9130	274	2815
26	9130	274	977
26	9130	274	1469
26	9130	274	2242
26	9130	274	1123
26	9130	274	1660
26	9130	274	674
26	9130	274	1923
26	9130	274	2168
26	9130	274	2873
26	9130	274	235
26	9130	274	2445
26	9130	274	2446
26	9130	274	2874
26	9130	274	1121
26	9130	274	2503
26	9130	274	2017
26	9130	274	208
26	9130	274	1209
26	9130	274	108
26	9130	274	1510
26	9130	274	1416
26	9130	274	1449
26	9130	274	693
26	9130	274	98
26	9130	274	2730
26	9130	274	1437
26	9130	274	429
26	9130	274	2033
26	9130	274	1608
26	9130	274	1694
26	9130	274	1676
26	9130	274	1616
26	9130	274	1017
26	9130	274	1626
26	9130	274	837
