group	fill	clickSelects
1	#FFFFFF	59
2	#FFFFFF	59
3	#FFFFFF	59
4	#FFFFFF	324
5	#FFFFFF	59
6	#FFFFFF	59
7	#FFFFFF	324
8	#FFFFFF	324
9	#FFFFFF	55
10	#FFFFFF	55
11	#FFFFFF	55
12	#FFFFFF	55
13	#FFFFFF	55
14	#FFFFFF	59
15	#FFFFFF	55
16	#FFFFFF	55
17	#FFFFFF	55
18	#FFFFFF	55
19	#FFFFFF	55
20	#FFFFFF	55
21	#FFFFFF	922
22	#FFFFFF	55
23	#FFFFFF	55
24	#FFFFFF	55
25	#FFFFFF	324
26	#FFFFFF	55
27	#FFFFFF	55
28	#FFFFFF	55
29	#FFFFFF	55
30	#FFFFFF	140
31	#FFFFFF	140
32	#FFFFFF	2418
33	#FFFFFF	2418
34	#FFFFFF	73
35	#FFFFFF	73
36	#FFFFFF	324
37	#FFFFFF	73
38	#FFFFFF	73
39	#FFFFFF	73
40	#FFFFFF	73
41	#FFFFFF	73
42	#FFFFFF	1030
43	#FFFFFF	1030
44	#FFFFFF	73
45	#FFFFFF	1030
46	#FFFFFF	324
47	#FFFFFF	324
48	#FFFFFF	324
49	#FFFFFF	59
50	#FFFFFF	324
51	#FFFFFF	59
52	#FFFFFF	59
53	#FFFFFF	59
54	#FFFFFF	324
55	#FFFFFF	324
56	#FFFFFF	324
57	#FFFFFF	324
58	#FFFFFF	324
59	#FFFFFF	324
60	#FFFFFF	55
61	#FFFFFF	55
62	#FFFFFF	55
63	#FFFFFF	55
64	#FFFFFF	59
65	#FFFFFF	55
66	#FFFFFF	55
67	#FFFFFF	55
68	#FFFFFF	55
69	#FFFFFF	55
70	#FFFFFF	55
71	#FFFFFF	922
72	#FFFFFF	55
73	#FFFFFF	55
74	#FFFFFF	55
75	#FFFFFF	59
76	#FFFFFF	55
77	#FFFFFF	55
78	#FFFFFF	55
79	#FFFFFF	55
80	#FFFFFF	55
81	#FFFFFF	140
82	#FFFFFF	2418
83	#FFFFFF	2418
84	#FFFFFF	2418
85	#FFFFFF	2418
86	#FFFFFF	324
87	#FFFFFF	73
88	#FFFFFF	73
89	#FFFFFF	73
90	#FFFFFF	73
91	#FFFFFF	1030
92	#FFFFFF	1030
93	#FFFFFF	140
94	#FFFFFF	1030
95	#FFFFFF	1030
96	#FFFFFF	1030
97	#FFFFFF	324
98	#FFFFFF	324
99	#FFFFFF	324
100	#FFFFFF	324
101	#FFFFFF	59
102	#FFFFFF	59
103	#FFFFFF	59
104	#FFFFFF	59
105	#FFFFFF	324
106	#FFFFFF	324
107	#FFFFFF	324
108	#FFFFFF	324
109	#FFFFFF	324
110	#FFFFFF	324
111	#FFFFFF	324
112	#FFFFFF	55
113	#FFFFFF	55
114	#FFFFFF	55
115	#FFFFFF	59
116	#FFFFFF	55
117	#FFFFFF	55
118	#FFFFFF	55
119	#FFFFFF	55
120	#FFFFFF	55
121	#FFFFFF	55
122	#FFFFFF	922
123	#FFFFFF	55
124	#FFFFFF	55
125	#FFFFFF	55
126	#FFFFFF	324
127	#FFFFFF	55
128	#FFFFFF	55
129	#FFFFFF	55
130	#FFFFFF	55
131	#FFFFFF	140
132	#FFFFFF	140
133	#FFFFFF	2418
134	#FFFFFF	2418
135	#FFFFFF	2418
136	#FFFFFF	2418
137	#FFFFFF	324
138	#FFFFFF	73
139	#FFFFFF	2418
140	#FFFFFF	73
141	#FFFFFF	1030
142	#FFFFFF	1030
143	#FFFFFF	140
144	#FFFFFF	140
145	#FFFFFF	1030
146	#FFFFFF	1030
147	#FFFFFF	324
148	#FFFFFF	324
149	#FFFFFF	59
150	#FFFFFF	59
151	#FFFFFF	324
152	#FFFFFF	324
153	#FFFFFF	324
154	#FFFFFF	324
155	#FFFFFF	55
156	#FFFFFF	55
157	#FFFFFF	55
158	#FFFFFF	55
159	#FFFFFF	55
160	#FFFFFF	55
