xmin	xmax	ymin	ymax	showSelected1	row_in_group	na_group
-19.45	-18.55	-0.213083414929827	0	8850,0	1	0
-18.45	-17.55	-0.676551499044155	0	8850,0	2	0
-17.45	-16.55	-1.96530983354315	0	8850,0	3	0
-16.45	-15.55	-1.46827062059962	0	8850,0	4	0
-15.45	-14.55	-1.25052454888796	0	8850,0	5	0
-14.45	-13.55	-1.14141838019303	0	8850,0	6	0
-13.45	-12.55	-0.968900079265165	0	8850,0	7	0
-10.45	-9.55	-2.6870891033711	0	8850,0	10	2
-8.45	-7.55	-1.06122068354548	0	8850,0	12	3
-7.45	-6.55	-1.82822772415723	0	8850,0	13	3
-6.45	-5.55	-1.52981769011983	0	8850,0	14	3
-5.45	-4.55	-0.304471487853779	0	8850,0	15	3
1.55	2.45	-0.0331048631510235	0	8850,0	22	9
-45.45	-44.55	-1.6207394973656	0	8900,0	25	11
-44.45	-43.55	-0.214948477642561	0	8900,0	26	11
-43.45	-42.55	-0.157131533547816	0	8900,0	27	11
-42.45	-41.55	-0.0750687741875321	0	8900,0	28	11
-40.45	-39.55	-0.448547582412459	0	8900,0	30	12
-39.45	-38.55	-1.40439222268849	0	8900,0	31	12
-37.45	-36.55	-0.715717816011563	0	8900,0	33	13
-35.45	-34.55	-0.232200307735348	0	8900,0	35	14
-31.45	-30.55	-0.904555415675852	0	8900,0	39	17
-24.45	-23.55	-0.938126544505059	0	8900,0	46	23
-22.45	-21.55	-1.57737678929454	0	8900,0	48	24
-17.45	-16.55	-0.456007833263394	0	8900,0	53	28
-16.45	-15.55	-1.19690399589686	0	8900,0	54	28
-14.45	-13.55	-0.669557513871404	0	8900,0	56	29
-13.45	-12.55	-1.73124446309507	0	8900,0	57	29
-10.45	-9.55	-2.60968900079265	0	8900,0	60	31
-9.45	-8.55	-1.682752832564	0	8900,0	61	31
-8.45	-7.55	-0.672355107940505	0	8900,0	62	31
-6.45	-5.55	-0.572107987131067	0	8900,0	64	32
-5.45	-4.55	-0.628992399869446	0	8900,0	65	32
-3.45	-2.55	-0.664428591411386	0	8900,0	67	33
-2.45	-1.55	-1.67482631603488	0	8900,0	68	33
1.55	2.45	-0.839278220730172	0	8900,0	72	36
2.55	3.45	-1.55779363081084	0	8900,0	73	36
4.55	5.45	-0.805240826222782	0	8900,0	75	37
-45.45	-44.55	-1.6207394973656	0	8900,50	76	37
-44.45	-43.55	-0.214948477642561	0	8900,50	77	37
-43.45	-42.55	-0.157131533547816	0	8900,50	78	37
-42.45	-41.55	-0.0750687741875321	0	8900,50	79	37
-40.45	-39.55	-0.448547582412459	0	8900,50	81	38
-39.45	-38.55	-1.40439222268849	0	8900,50	82	38
-37.45	-36.55	-0.715717816011563	0	8900,50	84	39
-35.45	-34.55	-0.232200307735348	0	8900,50	86	40
-31.45	-30.55	-0.904555415675852	0	8900,50	90	43
-24.45	-23.55	-0.938126544505059	0	8900,50	97	49
-22.45	-21.55	-1.57737678929454	0	8900,50	99	50
-17.45	-16.55	-0.456007833263394	0	8900,50	104	54
-16.45	-15.55	-1.19690399589686	0	8900,50	105	54
-14.45	-13.55	-0.669557513871404	0	8900,50	107	55
-13.45	-12.55	-1.73124446309507	0	8900,50	108	55
-10.45	-9.55	-2.60968900079265	0	8900,50	111	57
-9.45	-8.55	-1.682752832564	0	8900,50	112	57
-8.45	-7.55	-0.672355107940505	0	8900,50	113	57
-6.45	-5.55	-0.572107987131067	0	8900,50	115	58
-5.45	-4.55	-0.628992399869446	0	8900,50	116	58
-3.45	-2.55	-0.664428591411386	0	8900,50	118	59
-2.45	-1.55	-1.67482631603488	0	8900,50	119	59
1.55	2.45	-0.839278220730172	0	8900,50	123	62
2.55	3.45	-1.55779363081084	0	8900,50	124	62
4.55	5.45	-0.805240826222782	0	8900,50	126	63
-42.45	-41.55	-0.0354361915419406	0	8950,50	129	65
-41.45	-40.55	-0.538070592623677	0	8950,50	130	65
-40.45	-39.55	-0.775866088497226	0	8950,50	131	65
-39.45	-38.55	-0.168788175502401	0	8950,50	132	65
-35.45	-34.55	-0.332913694222968	0	8950,50	136	68
-33.45	-32.55	-0.63365505665128	0	8950,50	138	69
-32.45	-31.55	-1.2859607404299	0	8950,50	139	69
-31.45	-30.55	-1.24726068914067	0	8950,50	140	69
-30.45	-29.55	-1.26731011330256	0	8950,50	141	69
-29.45	-28.55	-2.841889308528	0	8950,50	142	69
-28.45	-27.55	-3.0190702662377	0	8950,50	143	69
-27.45	-26.55	-1.0467664475218	0	8950,50	144	69
-25.45	-24.55	-0.914813260595887	0	8950,50	146	70
-24.45	-23.55	-0.732037114747983	0	8950,50	147	70
-23.45	-22.55	-0.132419452604094	0	8950,50	148	70
-22.45	-21.55	-0.062013335198396	0	8950,50	149	70
-21.45	-20.55	-2.09446542639996	0	8950,50	150	70
-20.45	-19.55	-0.587494754511121	0	8950,50	151	70
-19.45	-18.55	-0.208887023826176	0	8950,50	152	70
-18.45	-17.55	-6.02928148458992	0	8950,50	153	70
-17.45	-16.55	-0.400055951881382	0	8950,50	154	70
-16.45	-15.55	-1.73730591691146	0	8950,50	155	70
-15.45	-14.55	-7.05926236769711	0	8950,50	156	70
-14.45	-13.55	-4.2234345129855	0	8950,50	157	70
-13.45	-12.55	-1.42211031845946	0	8950,50	158	70
-12.45	-11.55	-4.94428125145708	0	8950,50	159	70
-11.45	-10.55	-0.0135217046673194	0	8950,50	160	70
-10.45	-9.55	-0.96004103137968	0	8950,50	161	70
-8.45	-7.55	-1.98069660092321	0	8950,50	163	71
-2.45	-1.55	-0.564181470601949	0	8950,50	166	73
-1.45	-0.55	-0.787988996129995	0	8950,50	167	73
2.55	3.45	-0.297477502681028	0	8950,50	171	76
3.55	4.45	-0.724576863897049	0	8950,50	172	76
-42.45	-41.55	-0.0354361915419406	0	8950,100	175	78
-41.45	-40.55	-0.538070592623677	0	8950,100	176	78
-40.45	-39.55	-0.775866088497226	0	8950,100	177	78
-39.45	-38.55	-0.168788175502401	0	8950,100	178	78
-35.45	-34.55	-0.332913694222968	0	8950,100	182	81
-33.45	-32.55	-0.63365505665128	0	8950,100	184	82
-32.45	-31.55	-1.2859607404299	0	8950,100	185	82
-31.45	-30.55	-1.24726068914067	0	8950,100	186	82
-30.45	-29.55	-1.26731011330256	0	8950,100	187	82
-29.45	-28.55	-2.841889308528	0	8950,100	188	82
-28.45	-27.55	-3.0190702662377	0	8950,100	189	82
-27.45	-26.55	-1.0467664475218	0	8950,100	190	82
-25.45	-24.55	-0.914813260595887	0	8950,100	192	83
-24.45	-23.55	-0.732037114747983	0	8950,100	193	83
-23.45	-22.55	-0.132419452604094	0	8950,100	194	83
-22.45	-21.55	-0.062013335198396	0	8950,100	195	83
-21.45	-20.55	-2.09446542639996	0	8950,100	196	83
-20.45	-19.55	-0.587494754511121	0	8950,100	197	83
-19.45	-18.55	-0.208887023826176	0	8950,100	198	83
-18.45	-17.55	-6.02928148458992	0	8950,100	199	83
-17.45	-16.55	-0.400055951881382	0	8950,100	200	83
-16.45	-15.55	-1.73730591691146	0	8950,100	201	83
-15.45	-14.55	-7.05926236769711	0	8950,100	202	83
-14.45	-13.55	-4.2234345129855	0	8950,100	203	83
-13.45	-12.55	-1.42211031845946	0	8950,100	204	83
-12.45	-11.55	-4.94428125145708	0	8950,100	205	83
-11.45	-10.55	-0.0135217046673194	0	8950,100	206	83
-10.45	-9.55	-0.96004103137968	0	8950,100	207	83
-8.45	-7.55	-1.98069660092321	0	8950,100	209	84
-2.45	-1.55	-0.564181470601949	0	8950,100	212	86
-1.45	-0.55	-0.787988996129995	0	8950,100	213	86
2.55	3.45	-0.297477502681028	0	8950,100	217	89
3.55	4.45	-0.724576863897049	0	8950,100	218	89
-45.45	-44.55	-1.08919662423649	0	9000,100	219	89
-44.45	-43.55	-3.85182076747331	0	9000,100	220	89
-43.45	-42.55	-0.597286333752972	0	9000,100	221	89
-42.45	-41.55	-0.988949503427053	0	9000,100	222	89
-41.45	-40.55	-3.59350958175969	0	9000,100	223	89
-38.45	-37.55	-0.00885904788548515	0	9000,100	226	91
-36.45	-35.55	-3.38835268335898	0	9000,100	228	92
-35.45	-34.55	-0.110504965729473	0	9000,100	229	92
-34.45	-33.55	-1.18105096283863	0	9000,100	230	92
-33.45	-32.55	-0.760945586795356	0	9000,100	231	92
-32.45	-31.55	-3.61822166270341	0	9000,100	232	92
-31.45	-30.55	-3.03818715904322	0	9000,100	233	92
-30.45	-29.55	-1.7023359910477	0	9000,100	234	92
-29.45	-28.55	-2.15554623024199	0	9000,100	235	92
-28.45	-27.55	-5.11633328670677	0	9000,100	236	92
-27.45	-26.55	-2.17279806033478	0	9000,100	237	92
-26.45	-25.55	-0.87704574066303	0	9000,100	238	92
-25.45	-24.55	-2.08607264419266	0	9000,100	239	92
-24.45	-23.55	-0.238728027229916	0	9000,100	240	92
-23.45	-22.55	-0.150137548375064	0	9000,100	241	92
-22.45	-21.55	-3.39394787149718	0	9000,100	242	92
-21.45	-20.55	-0.816897468177368	0	9000,100	243	92
-20.45	-19.55	-1.94899053480673	0	9000,100	244	92
-19.45	-18.55	-1.13209306662937	0	9000,100	245	92
-18.45	-17.55	-2.6982794796475	0	9000,100	246	92
-17.45	-16.55	-2.27257891546603	0	9000,100	247	92
-16.45	-15.55	-4.29570569310393	0	9000,100	248	92
-15.45	-14.55	-4.7018230988017	0	9000,100	249	92
-14.45	-13.55	-2.48239847064858	0	9000,100	250	92
-13.45	-12.55	-0.827621578775587	0	9000,100	251	92
-12.45	-11.55	-3.10952580780529	0	9000,100	252	92
-11.45	-10.55	-0.709656362195179	0	9000,100	253	92
-10.45	-9.55	-2.93654124119924	0	9000,100	254	92
-9.45	-8.55	-1.53867673800532	0	9000,100	255	92
