group	label	showSelected1
1	Cluster 11: 1169/5408 pixels shown, logFC -3.5 to 3.3, log10(p) 0.0 to 4.0	11
1	Cluster 15: 36/47 pixels shown, logFC -4.6 to 1.0, log10(p) 0.1 to 2.5	15
1	Cluster 18: 2/314 pixels shown, logFC -3.8 to 2.3, log10(p) 0.0 to 1.9	18
1	Cluster 36: 208/211 pixels shown, logFC -2.6 to 2.3, log10(p) 0.0 to 2.8	36
1	Cluster 68: 115/115 pixels shown, logFC -4.0 to 1.5, log10(p) 0.0 to 1.8	68
1	Cluster 73: 603/4422 pixels shown, logFC -3.1 to 3.6, log10(p) 0.0 to 3.8	73
1	Cluster 87: 215/215 pixels shown, logFC -3.1 to 3.6, log10(p) 0.0 to 1.7	87
1	Cluster 118: 81/190 pixels shown, logFC -3.8 to 3.0, log10(p) 0.0 to 2.1	118
1	Cluster 119: 14/25 pixels shown, logFC -3.1 to 1.0, log10(p) 0.1 to 1.0	119
1	Cluster 125: 69/157 pixels shown, logFC -3.1 to 2.8, log10(p) 0.0 to 1.9	125
1	Cluster 131: 120/120 pixels shown, logFC -2.2 to 3.3, log10(p) 0.0 to 1.9	131
1	Cluster 139: 104/104 pixels shown, logFC -3.8 to 2.8, log10(p) 0.0 to 1.5	139
1	Cluster 148: 34/75 pixels shown, logFC -4.0 to 2.8, log10(p) 0.0 to 1.8	148
1	Cluster 158: 104/162 pixels shown, logFC -1.9 to 3.6, log10(p) 0.0 to 2.1	158
1	Cluster 213: 48/49 pixels shown, logFC -1.8 to 3.3, log10(p) 0.0 to 1.1	213
1	Cluster 288: 155/155 pixels shown, logFC -3.5 to 2.0, log10(p) 0.0 to 1.8	288
1	Cluster 297: 1/108 pixels shown, logFC -2.6 to 3.6, log10(p) 0.0 to 1.4	297
1	Cluster 316: 80/80 pixels shown, logFC -0.8 to 3.3, log10(p) 0.0 to 1.9	316
1	Cluster 369: 36/157 pixels shown, logFC -2.3 to 3.3, log10(p) 0.0 to 2.2	369
1	Cluster 406: 23/424 pixels shown, logFC -4.0 to 2.0, log10(p) 0.0 to 2.5	406
1	Cluster 416: 12/12 pixels shown, logFC 0.5 to 3.6, log10(p) 0.2 to 1.4	416
1	Cluster 465: 63/72 pixels shown, logFC -1.3 to 2.8, log10(p) 0.0 to 1.9	465
1	Cluster 471: 9/9 pixels shown, logFC -4.0 to -0.2, log10(p) 0.1 to 1.8	471
1	Cluster 485: 26/26 pixels shown, logFC -3.8 to 0.9, log10(p) 0.0 to 1.5	485
1	Cluster 708: 2/5 pixels shown, logFC 0.6 to 3.3, log10(p) 0.2 to 1.1	708
1	Cluster 712: 5/5 pixels shown, logFC 1.3 to 3.9, log10(p) 0.5 to 1.6	712
1	Cluster 734: 8/8 pixels shown, logFC -4.2 to -0.6, log10(p) 0.2 to 2.0	734
1	Cluster 743: 73/73 pixels shown, logFC -1.9 to 2.7, log10(p) 0.0 to 1.9	743
1	Cluster 806: 3/6 pixels shown, logFC -3.5 to -0.4, log10(p) 0.1 to 1.2	806
1	Cluster 855: 2/2 pixels shown, logFC -3.8 to -2.6, log10(p) 0.7 to 1.5	855
1	Cluster 878: 12/12 pixels shown, logFC 0.1 to 2.1, log10(p) 0.0 to 0.9	878
1	Cluster 942: 10/10 pixels shown, logFC 0.1 to 2.8, log10(p) 0.0 to 1.4	942
1	Cluster 959: 1/2 pixels shown, logFC 2.0 to 3.6, log10(p) 0.5 to 1.4	959
1	Cluster 971: 2/2 pixels shown, logFC 2.0 to 3.3, log10(p) 0.5 to 1.1	971
1	Cluster 988: 28/28 pixels shown, logFC -2.6 to 0.2, log10(p) 0.0 to 1.3	988
1	Cluster 1054: 12/12 pixels shown, logFC -3.8 to 1.4, log10(p) 0.1 to 1.5	1054
1	Cluster 1135: 17/19 pixels shown, logFC -3.1 to -1.8, log10(p) 0.4 to 0.9	1135
1	Cluster 1147: 12/12 pixels shown, logFC 0.9 to 3.3, log10(p) 0.3 to 1.4	1147
1	Cluster 1179: 4/4 pixels shown, logFC -2.6 to -1.0, log10(p) 0.4 to 0.7	1179
1	Cluster 1220: 2/2 pixels shown, logFC 2.3 to 4.2, log10(p) 1.2 to 1.9	1220
1	Cluster 1234: 7/8 pixels shown, logFC 0.9 to 3.6, log10(p) 0.2 to 1.4	1234
1	Cluster 1238: 26/26 pixels shown, logFC -1.2 to 2.8, log10(p) 0.0 to 1.8	1238
